,Rating,MovieName
0,4.0,Unknown
1,2.0,லைட்மேன்
2,3.25,Unknown
3,2.25,Unknown
4,3.0,திருநாள்
5,2.5,என்னோடு விளையாடு
6,2.75,Unknown
7,2.0,Unknown
8,2.75,Unknown
9,2.75,Unknown
10,2.25,Unknown
11,2.0,தமிழ் படம் - 2 
12,2.75,Unknown
13,4.0,Unknown
14,2.5,பம்பாய் 
15,3.0,Unknown
16,3.0,களவாடிய பொழுதுகள்
17,3.0,Unknown
18,2.0,Unknown
19,3.0,Unknown
20,2.5,மாவீரன் கிட்டு 
21,3.0,Unknown
22,3.5,விண்ணைத்தாண்டி வந்த ஏஞ்சல்.
23,2.5, சைத்தான் 
24,2.25,Unknown
25,2.75,Unknown
26,2.5,Unknown
27,3.5,தானா சேர்ந்த கூட்டம் 
28,4.0,கடுகு.
29,3.0,அதே கண்கள் 
30,2.5,Unknown
31,2.0,Unknown
32,2.5,Unknown
33,3.0,கத்தி சண்டை 
34,2.0,அம்மாவென்று உலகத்தில் இல்லாட்டா...
35,2.75,Unknown
36,2.75,Unknown
37,2.25,Unknown
38,2.5,Unknown
39,2.75,Unknown
40,3.0,தீயோர் நட்பு தீமையையே தரும் 
41,3.25,Unknown
42,3.5,ரெமோ 
43,3.0,பிருந்தாவனம் 
44,3.5,Unknown
45,2.0,பிரகாமியம் 
46,2.75,Unknown
47,2.25,Unknown
48,3.0,Unknown
49,2.5,மியாவ்
50,3.0,Unknown
51,2.0,த்ரிஷா இல்லேன்னா நயன்தாரா 
52,2.75,Unknown
53,3.0,சண்டக்கோழி 2 
54,2.75,Unknown
55,2.5,Unknown
56,3.0,ஒரு முகத்திரை 
57,2.75,Unknown
58,2.0,பலே 
59,3.0,பகீர் 
60,3.5,மெர்சலை 
61,2.0,தெரு நாய்கள் 
62,2.5,பியார் பிரேமா காதல்
63,3.0,டிராபிக் ராமசாமி.
64,2.0,செய்
65,3.0,Unknown
66,4.0,மாநகரம்
67,3.5,விதிமதி உல்டா 
68,3.5,சென்னை 600028-II. 
69,3.0,Unknown
70,4.0,Unknown
71,2.5, ட்ரான்ஸ் இண்டியா மீடியா 
72,4.0,நடிகையர் திலகம்
73,3.0,கடம்பவனம்
74,4.0,Unknown
75,3.5,பைக்
76,2.0,கன்னாபின்னா
77,3.5,சத்யா
78,3.0, இருட்டு அறையில் முரட்டு குத்து 
79,2.5,வாங்க வாங்க
80,3.0,Unknown
81,2.25,Unknown
82,3.5,எம்எஸ்.தோனி 
83,3.0,Unknown
84,3.0, பலூன் 
85,2.5,Unknown
86,3.0,அவெஞ்சர்ஸ் இன்பினிட்டி வார் 
87,2.5,Unknown
88,3.0,பள்ளிப் பருவத்திலே 
89,4.0,காஷ்மோரா 
90,3.0,Unknown
91,3.5,Unknown
92,4.0,மீசையமுறுக்கு 
93,2.0,துப்பபறிவாளன்
94,2.75,Unknown
95,2.75,Unknown
96,3.0,செஞ்சிட்டாளே என் காதல
97,3.5,ஓடு ராஜா ஓடு
98,2.5,Unknown
99,3.25,Unknown
100,2.75,Unknown
101,3.5,Unknown
102,2.5,Unknown
103,2.5,மதுர வீரன்
104,2.0,Unknown
105,2.0,Unknown
106,3.0,திருட்டுப் பயலே - 2 
107,3.5,Unknown
108,3.0,Unknown
109,4.5,அருவி 
110,3.5,"என் பெயர் சூர்யா ,என் வீடு இந்தியா"
111,3.0,Unknown
112,3.5,Unknown
113,4.0,Unknown
114,3.5,Unknown
115,2.75,Unknown
116,2.75,Unknown
117,3.5,கண்ணுல காச காட்டப்பா
118,3.0,Unknown
119,2.25,Unknown
120,3.5,போகன் 
121,4.0,மாம்
122,2.0,Unknown
123,2.0,கவலை வேண்டாம்
124,3.5,Unknown
125,2.5,Unknown
126,2.75,Unknown
127,2.5,Unknown
128,2.5,Unknown
129,3.5,Unknown
130,2.75,Unknown
131,3.25,Unknown
132,2.5,Unknown
133,2.5,Unknown
134,3.0,விவேகம் 
135,2.75,Unknown
136,2.5, கடவுள் இருக்கான் குமாரு 
137,3.0,உன்னை பார்த்தால் கூட பயமா இல்லை.. நீ பேசுற லெந்த்தான டயலாக் கேட்க தான் பயமா இருக்கு
138,3.0,யுடர்ன் ( UTURN )
139,3.0,Unknown
